name,path,invocation_count,number
_get_writing_elements,larpmanager/models/form.py,2,1
_go,larpmanager/utils/fiscal_code.py,2,1
_handle_tutorial_redirect,larpmanager/views/manage.py,2,1
_init_custom_fields,larpmanager/forms/character.py,2,1
_init_element_cache_reg_field,larpmanager/cache/text_fields.py,2,1
_init_element_cache_text_field,larpmanager/cache/text_fields.py,2,1
_init_factions,larpmanager/forms/character.py,2,1
_init_factions,larpmanager/forms/character.py,2,2
_init_questions,larpmanager/forms/base.py,2,1
_init_questions,larpmanager/forms/writing.py,2,1
_init_type,larpmanager/forms/character.py,2,1
_init_type,larpmanager/forms/registration.py,2,1
_orga_feature_after_link,larpmanager/views/orga/event.py,2,1
_orga_registrations_acc,larpmanager/utils/download.py,2,1
_prepare_backup,larpmanager/views/orga/event.py,2,1
_register_prepare,larpmanager/views/user/registration.py,2,1
__index,larpmanager/utils/tutorial_query.py,2,1
_setup_char_finder,larpmanager/utils/edit.py,2,1
_validate_unique_event,larpmanager/forms/base.py,2,1
acc_profile_check,larpmanager/views/user/accounting.py,2,1
add_char_addit,larpmanager/utils/experience.py,2,1
add_feature_extra,larpmanager/forms/event.py,2,1
add_pdf_instructions,larpmanager/utils/pdf.py,2,1
album_aux,larpmanager/views/user/miscellanea.py,2,1
assign_badge,larpmanager/utils/member.py,2,1
assoc_accounting_data,larpmanager/accounting/balance.py,2,1
cache_assoc_features,larpmanager/cache/feature.py,2,1
cache_assoc_key,larpmanager/cache/association.py,2,1
cache_assoc_role_key,larpmanager/cache/role.py,2,1
cache_cache_lm_home_key,larpmanager/cache/larpmanager.py,2,1
cache_config_run_key,larpmanager/cache/run.py,2,1
cache_event_features_key,larpmanager/cache/feature.py,2,1
cache_event_role_key,larpmanager/cache/role.py,2,1
cache_reg_counts_key,larpmanager/cache/registration.py,2,1
cache_run_key,larpmanager/cache/run.py,2,1
cache_skin_key,larpmanager/cache/skin.py,2,1
cantor,larpmanager/utils/common.py,2,1
casting_history_characters,larpmanager/views/user/casting.py,2,1
casting_history_traits,larpmanager/views/user/casting.py,2,1
casting_preferences_characters,larpmanager/views/user/casting.py,2,1
casting_preferences_traits,larpmanager/views/user/casting.py,2,1
char_add_addit,larpmanager/utils/writing.py,2,1
character_your_link,larpmanager/views/user/character.py,2,1
check_accounting,larpmanager/accounting/balance.py,2,1
check_assign_character,larpmanager/utils/registration.py,2,1
check_char_abilities,larpmanager/views/user/character.py,2,1
check_character_ticket_options,larpmanager/utils/registration.py,2,1
check_gallery_visibility,larpmanager/views/user/event.py,2,1
check_holiday,larpmanager/mail/base.py,2,1
check_managed,larpmanager/cache/role.py,2,1
check_reg_bkg,larpmanager/accounting/registration.py,2,1
check_reg_events,larpmanager/accounting/registration.py,2,1
check_registration_open,larpmanager/views/user/registration.py,2,1
clean_tag,larpmanager/utils/pdf.py,2,1
clear_association_permission_cache,larpmanager/cache/permission.py,2,1
clear_event_button_cache,larpmanager/utils/event.py,2,1
clear_event_permission_cache,larpmanager/cache/permission.py,2,1
clear_messages,larpmanager/utils/common.py,2,1
compress,larpmanager/forms/member.py,2,1
deactivate_castings_and_remove_pdfs,larpmanager/utils/pdf.py,2,1
